index,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,y
2814,15800,91095.0,109401.0,DebtCon,Sales,12.0,,1.0,154.36018316,0.0,17.0,33.526270674,0
4991,26400,196412.0,250164.0,DebtCon,Other,9.0,0.0,0.0,97.278349271,1.0,26.0,42.334245998,0
1271,10300,79243.0,89840.0,DebtCon,Office,16.0,0.0,0.0,87.825346176,0.0,9.0,24.479373218,0
103,4200,34800.0,50225.0,HomeImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,,1
1310,10500,64331.0,65040.0,HomeImp,Other,4.0,0.0,0.0,66.541057817,1.0,20.0,42.332124341,0
4346,22600,69675.0,92300.0,DebtCon,Other,16.0,0.0,6.0,240.43333333,0.0,30.0,,1
5571,36300,35287.0,56532.0,DebtCon,Other,,0.0,0.0,,7.0,0.0,32.624531901,0
41,3000,,33000.0,HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,,1
4486,23400,89226.0,119604.0,DebtCon,Self,3.0,0.0,0.0,221.68138332,1.0,26.0,34.556201402,0
3636,19000,105729.0,172555.0,DebtCon,Office,6.0,0.0,0.0,216.43903593,4.0,23.0,41.046748124,0
3502,18500,26389.0,85552.0,DebtCon,ProfExe,7.0,0.0,0.0,152.04065885,1.0,21.0,27.356208077,0
1424,10900,86754.0,110000.0,DebtCon,ProfExe,13.0,0.0,2.0,103.43333333,0.0,19.0,,1
196,5100,72891.0,80691.0,HomeImp,Other,1.0,1.0,0.0,273.88170516,0.0,6.0,39.852146515,0
4174,21700,24984.0,92297.0,DebtCon,Other,26.0,0.0,6.0,238.36963726,1.0,20.0,16.397160872,1
2127,13300,66502.0,78138.0,DebtCon,Other,4.0,0.0,0.0,178.1121065,1.0,16.0,33.795091238,0
5546,35100,33844.0,55100.0,DebtCon,Other,,0.0,0.0,,6.0,0.0,34.70302378,0
4592,24000,59300.0,88000.0,DebtCon,Other,16.0,0.0,0.0,97.933333333,1.0,17.0,,0
6,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,1
757,8300,71922.0,117151.0,DebtCon,Office,2.0,0.0,0.0,246.93475819,1.0,37.0,18.156826624,0
4659,24500,33537.0,57048.0,DebtCon,Other,14.0,0.0,0.0,99.376132515,1.0,24.0,28.495004812,0
3930,20600,91180.0,98088.0,DebtCon,ProfExe,2.0,1.0,0.0,125.67684987,0.0,20.0,36.537400531,0
283,5700,28116.0,33450.0,DebtCon,Other,0.0,1.0,0.0,15.396587392,9.0,7.0,30.017013296,0
5641,39100,68135.0,108723.0,DebtCon,Mgr,15.0,0.0,1.0,193.6861891,0.0,22.0,38.578992713,0
4331,22500,73567.0,88157.0,DebtCon,Other,2.0,0.0,0.0,111.4005357,1.0,30.0,33.519228144,0
141,4900,65576.0,65774.0,HomeImp,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.590910018,1
3516,18500,38145.0,59415.0,HomeImp,Other,25.0,0.0,0.0,241.89735737,0.0,14.0,23.870792259,0
344,6200,75657.0,84368.0,DebtCon,Sales,4.0,0.0,0.0,122.24494502,0.0,30.0,32.552543335,0
520,7200,57912.0,84806.0,HomeImp,Other,15.0,0.0,0.0,241.51424984,0.0,35.0,35.062675655,0
3857,20200,,72469.0,HomeImp,Office,8.0,0.0,0.0,120.30325703,2.0,5.0,20.505771156,0
2224,13700,35825.0,66612.0,DebtCon,Office,22.0,0.0,0.0,231.9014789,2.0,29.0,26.702473442,0
2369,14300,81000.0,100000.0,DebtCon,Office,30.0,,1.0,333.83333333,2.0,50.0,,0
2497,14900,89872.0,118027.0,DebtCon,ProfExe,0.0,1.0,1.0,155.44545292,1.0,34.0,33.135696766,0
1250,10200,54900.0,79000.0,DebtCon,Office,14.0,0.0,0.0,113.63333333,0.0,24.0,,0
5279,28900,134509.0,211558.0,DebtCon,ProfExe,10.0,0.0,0.0,247.84445257,2.0,27.0,20.610706647,0
4179,21800,90065.0,122335.0,DebtCon,Self,3.0,0.0,0.0,212.69546756,1.0,26.0,34.84691939,0
4103,21400,143151.0,185014.0,HomeImp,Mgr,7.0,0.0,0.0,314.98428693,0.0,17.0,43.10300163,0
3470,18300,35975.0,60500.0,DebtCon,Office,13.0,0.0,2.0,118.66666667,1.0,22.0,,0
5586,36600,397299.0,512650.0,DebtCon,ProfExe,4.0,0.0,0.0,197.51668389,0.0,21.0,43.458327417,1
3462,18300,109437.0,114900.0,DebtCon,Other,1.0,0.0,0.0,138.17185084,1.0,20.0,38.332316894,0
268,5700,,74685.0,,,,,,,,,24.274865275,0
3169,17000,118822.0,208429.0,DebtCon,Other,3.0,0.0,0.0,206.73707131,0.0,16.0,25.87399085,0
2238,13700,60623.0,83979.0,HomeImp,Other,,0.0,0.0,308.10854035,0.0,20.0,29.482527873,0
3713,19600,94419.0,123705.0,DebtCon,Self,19.0,,2.0,92.739380404,0.0,22.0,84.379034083,1
3443,18200,94727.0,136877.0,DebtCon,Mgr,15.0,0.0,0.0,168.95996818,2.0,26.0,36.056437467,0
2606,15000,42000.0,111351.0,DebtCon,Other,6.0,,6.0,225.63333333,0.0,17.0,,1
4167,21700,20627.0,52040.0,DebtCon,Other,26.0,0.0,2.0,199.98543166,0.0,25.0,27.117689551,0
3819,20000,107000.0,146400.0,DebtCon,Office,0.1,0.0,2.0,234.33333333,2.0,32.0,,1
4180,21800,80092.0,98561.0,DebtCon,Mgr,5.0,0.0,0.0,73.317930125,7.0,24.0,37.138283972,0
2876,16000,71861.0,95315.0,HomeImp,ProfExe,24.0,0.0,0.0,241.41251498,1.0,23.0,35.474773102,0
5928,70800,192044.0,292380.0,DebtCon,Self,10.0,0.0,0.0,221.60848575,2.0,25.0,30.37854757,0
367,6300,78724.0,80355.0,HomeImp,Other,24.0,0.0,0.0,335.07414261,1.0,46.0,31.177261304,0
2900,16000,98338.0,115759.0,DebtCon,Other,8.0,0.0,0.0,296.07626178,1.0,19.0,30.062735712,0
2491,14900,54359.0,78408.0,DebtCon,Self,4.0,3.0,0.0,129.96775559,0.0,24.0,3.0161414514,1
4928,26000,100548.0,207647.0,DebtCon,Other,22.0,0.0,0.0,218.59599134,0.0,18.0,26.55949496,0
1607,11600,45917.0,60000.0,DebtCon,Other,10.0,0.0,1.0,304.36666667,3.0,27.0,,1
1678,11900,58104.0,77870.0,HomeImp,Other,7.0,0.0,0.0,69.433333333,1.0,19.0,,1
2009,12900,89492.0,110007.0,HomeImp,ProfExe,10.0,0.0,2.0,169.19198431,0.0,28.0,32.820037269,0
3142,17000,70085.0,81598.0,DebtCon,Office,7.0,0.0,0.0,117.19539923,1.0,20.0,21.981835715,0
993,9400,52024.0,89107.0,HomeImp,Office,0.0,1.0,0.0,148.84473761,3.0,26.0,36.080031774,1
4056,21200,48273.0,71102.0,DebtCon,Other,7.0,0.0,0.0,73.303097452,2.0,19.0,34.659259929,0
3474,18300,68096.0,99051.0,DebtCon,Mgr,1.0,0.0,0.0,85.843161697,0.0,17.0,27.633516483,0
3466,18300,63351.0,87645.0,DebtCon,Other,1.0,0.0,0.0,324.614647,3.0,15.0,43.90230255,0
298,5900,,51189.0,HomeImp,,1.0,0.0,0.0,,0.0,0.0,12.749180645,0
825,8600,41126.0,55500.0,DebtCon,Other,6.0,0.0,0.0,73.033333333,1.0,11.0,,0
3958,20700,72698.0,96691.0,DebtCon,Other,,2.0,0.0,233.5953067,1.0,13.0,42.62634036,0
2655,15200,102925.0,114520.0,HomeImp,Office,3.0,0.0,0.0,137.38937273,0.0,22.0,36.44647661,0
5104,27300,,37531.0,HomeImp,Other,22.0,0.0,0.0,82.660269477,2.0,14.0,29.609847557,0
2165,13500,40023.0,67357.0,DebtCon,Mgr,,,,,,,38.319425851,0
2305,14000,37019.0,57125.0,DebtCon,Other,,0.0,0.0,69.823553128,0.0,15.0,41.637058771,0
1469,11000,85474.0,118125.0,HomeImp,Office,2.5,2.0,0.0,132.93333333,1.0,9.0,,1
2319,14000,85200.0,,HomeImp,Other,8.0,1.0,0.0,188.66666667,4.0,17.0,,1
1227,10100,72136.0,89437.0,DebtCon,,5.0,0.0,0.0,205.73712524,0.0,15.0,30.798763531,0
4556,23800,188250.0,233800.0,DebtCon,ProfExe,2.0,0.0,0.0,307.57275263,1.0,27.0,36.690724403,0
1350,10600,22000.0,35200.0,DebtCon,Mgr,13.0,0.0,0.0,90.333333333,5.0,14.0,,1
5897,60000,122729.0,207797.0,DebtCon,ProfExe,9.0,0.0,0.0,313.33439671,2.0,27.0,35.028577921,0
3553,18700,47903.0,63933.0,HomeImp,Office,3.0,0.0,0.0,120.41804194,1.0,17.0,32.977596653,0
1372,10700,83650.0,203720.0,HomeImp,Self,11.0,0.0,0.0,13.588693962,,8.0,19.587710546,0
15,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,1
1544,11300,40752.0,53683.0,HomeImp,Other,22.0,0.0,1.0,129.75806208,0.0,23.0,38.425881111,0
1385,10700,147477.0,181050.0,HomeImp,Office,6.0,0.0,0.0,190.02108492,1.0,55.0,34.698162391,0
5096,27300,72314.0,118839.0,DebtCon,Other,5.0,0.0,0.0,99.693832459,1.0,31.0,42.343420263,0
144,5000,,34846.0,HomeImp,,,,,,,,33.354652626,0
1286,10300,57902.0,74355.0,HomeImp,Other,4.0,0.0,0.0,243.6309162,1.0,16.0,36.574441888,0
3801,20000,161000.0,204000.0,DebtCon,ProfExe,5.0,3.0,7.0,205.93333333,5.0,25.0,,1
2620,15000,89165.0,106392.0,DebtCon,Sales,12.0,,2.0,166.08501799,0.0,17.0,35.033102504,0
841,8700,58007.0,73069.0,DebtCon,ProfExe,14.0,0.0,0.0,240.43728186,3.0,31.0,37.897480893,0
266,5600,15275.0,47954.0,HomeImp,Self,,0.0,0.0,204.33524504,0.0,12.0,42.397769638,0
5192,28000,62376.0,104073.0,DebtCon,Other,16.0,1.0,0.0,146.14192957,0.0,30.0,39.759849639,0
5944,81400,22344.0,108280.0,HomeImp,,25.0,0.0,0.0,148.11499352,0.0,14.0,34.285741432,0
2494,14900,45701.0,78186.0,DebtCon,Mgr,5.0,0.0,0.0,125.03135342,1.0,8.0,26.343855653,0
4403,22900,136032.0,180899.0,DebtCon,ProfExe,21.0,0.0,0.0,240.34747113,0.0,24.0,41.596747473,0
4140,21600,152639.0,195661.0,DebtCon,ProfExe,14.0,,,127.7781102,0.0,24.0,29.153071493,0
2966,16300,84480.0,101243.0,DebtCon,Office,30.0,,0.0,337.34230408,2.0,49.0,35.412870351,0
1489,11100,52028.0,77316.0,HomeImp,Other,,0.0,2.0,194.48489733,1.0,12.0,30.797674365,1
5349,30300,54352.0,79302.0,DebtCon,Office,0.0,0.0,0.0,152.20277687,3.0,19.0,41.62936282,0
2019,13000,27787.0,44901.0,DebtCon,Other,8.0,,1.0,166.7262772,7.0,28.0,38.35512561,0
3480,18400,89101.0,118748.0,DebtCon,ProfExe,7.0,0.0,0.0,153.84976303,2.0,21.0,21.76282696,0
716,8200,,49362.0,,,,,,,,,11.769692151,0
2547,15000,5500.0,29025.0,DebtCon,Other,25.0,0.0,5.0,275.5,1.0,19.0,,1
218,5300,66987.0,65111.0,HomeImp,Sales,4.0,1.0,0.0,175.32870382,1.0,22.0,40.442570389,0
5880,53700,,84205.0,HomeImp,Other,,0.0,0.0,339.66561472,0.0,7.0,22.639940355,0
739,8300,82000.0,111000.0,DebtCon,Other,6.0,2.0,2.0,214.1,2.0,12.0,,1
3034,16500,43223.0,46925.0,DebtCon,Other,10.0,0.0,0.0,178.00238341,4.0,20.0,40.206333768,1
1409,10800,67740.0,108135.0,DebtCon,Office,11.0,0.0,0.0,163.27383179,1.0,12.0,38.383498378,0
1623,11700,51600.0,72399.0,HomeImp,Other,15.0,0.0,1.0,125.36336996,4.0,20.0,,1
56,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351,0
4046,21200,23088.0,56535.0,DebtCon,Other,27.0,0.0,1.0,216.1560174,0.0,24.0,27.395233882,0
5821,50000,160000.0,235000.0,DebtCon,ProfExe,0.3,0.0,0.0,184.7,0.0,41.0,,1
2152,13400,100784.0,118708.0,,Office,15.0,0.0,0.0,268.10759246,0.0,16.0,36.158718102,0
5924,69700,192163.0,293901.0,DebtCon,Self,10.0,0.0,0.0,222.14752562,2.0,24.0,29.038235992,0
5180,27900,69589.0,115061.0,DebtCon,Other,5.0,0.0,0.0,97.8638453,1.0,32.0,41.473971731,0
3069,16700,86076.0,130341.0,DebtCon,ProfExe,12.0,0.0,0.0,295.95433961,0.0,18.0,28.447992405,0
3721,19700,33529.0,61209.0,DebtCon,Other,17.0,0.0,0.0,112.15874119,0.0,18.0,40.725296117,0
5299,29300,68024.0,115954.0,HomeImp,Other,6.0,,,109.91502045,11.0,21.0,44.369170763,0
2833,15800,,96579.0,DebtCon,Office,28.0,0.0,0.0,328.21049264,0.0,15.0,12.1535212,0
2161,13500,88738.0,114815.0,DebtCon,Office,9.0,0.0,0.0,239.74372086,0.0,12.0,41.077117828,0
5319,30000,74975.0,118886.0,DebtCon,Mgr,12.0,0.0,0.0,85.045754904,0.0,34.0,26.349131932,0
5464,32800,13781.0,43371.0,DebtCon,Other,28.0,0.0,0.0,203.83930475,0.0,14.0,40.657779937,0
2643,15100,44700.0,76456.0,DebtCon,Mgr,5.0,0.0,0.0,134.5043482,0.0,9.0,29.383996531,0
1034,9500,,40000.0,HomeImp,Other,10.0,0.0,0.0,36.5,1.0,1.0,,1
5346,30200,34955.0,79556.0,DebtCon,Other,8.0,,,121.02331335,,23.0,32.804530596,0
4485,23400,35634.0,61149.0,DebtCon,Other,,0.0,0.0,204.64278621,0.0,13.0,41.115158943,0
5322,30000,12223.0,35875.06,DebtCon,Other,28.5,0.0,0.0,199.83333333,0.0,15.0,,0
3896,20400,38267.0,68684.0,DebtCon,Office,12.0,0.0,1.0,121.45336289,0.0,22.0,42.206433219,0
1660,11800,,51246.0,HomeImp,Other,11.0,0.0,0.0,305.5667157,2.0,13.0,32.500059069,0
5652,39700,134586.0,193219.0,DebtCon,Mgr,,1.0,0.0,179.06935574,0.0,25.0,32.041133968,0
3789,20000,61843.0,95595.0,HomeImp,Office,14.0,0.0,0.0,135.96666667,0.0,14.0,,0
1821,12300,69499.0,104045.0,DebtCon,Other,8.0,0.0,0.0,219.09048911,0.0,20.0,18.58475695,0
5573,36300,25867.0,43823.0,DebtCon,Mgr,6.0,0.0,0.0,56.127339168,0.0,6.0,33.676739548,0
2652,15200,87116.0,105971.0,HomeImp,Other,21.0,0.0,0.0,147.94667979,4.0,24.0,27.961550213,0
3215,17200,48999.0,76544.0,DebtCon,ProfExe,5.0,0.0,0.0,240.52274651,3.0,31.0,32.841753914,0
2100,13200,71775.0,80480.0,DebtCon,Other,0.0,0.0,0.0,240.64357656,3.0,25.0,29.267992416,0
4723,25000,94000.0,125000.0,DebtCon,Office,11.0,0.0,1.0,151.13333333,0.0,29.0,,0
626,7800,55394.0,63567.0,DebtCon,Other,23.0,0.0,0.0,262.01435765,2.0,29.0,38.983938486,0
2045,13000,7200.0,24869.0,HomeImp,Other,0.7,9.0,1.0,193.8,0.0,9.0,,1
1744,12000,87917.0,,,Other,12.9,0.0,1.0,71.0,0.0,12.0,,1
4131,21600,45421.0,75632.0,DebtCon,Office,2.0,0.0,1.0,230.24223467,0.0,11.0,33.457380881,0
3057,16600,,56631.0,DebtCon,Office,2.0,0.0,0.0,98.760223233,1.0,8.0,39.799527401,0
4368,22700,128020.0,164199.0,DebtCon,ProfExe,7.0,0.0,0.0,175.88480789,0.0,37.0,21.232357898,0
397,6500,60054.0,70434.0,HomeImp,Other,1.0,0.0,0.0,127.06270157,2.0,21.0,37.800352933,1
1848,12400,137927.0,160566.0,HomeImp,ProfExe,6.0,0.0,1.0,436.75177987,0.0,42.0,29.272556814,0
5519,34100,139035.0,198788.0,DebtCon,ProfExe,23.0,0.0,0.0,171.96329162,1.0,22.0,37.685892078,0
1325,10500,89000.0,268000.0,HomeImp,ProfExe,,4.0,,120.8,2.0,15.0,,1
681,8000,47154.0,65458.0,DebtCon,Office,2.0,0.0,0.0,99.993789825,3.0,12.0,38.873711304,0
1548,11300,66814.0,82021.0,DebtCon,Office,4.0,2.0,3.0,173.71183851,3.0,29.0,38.556929453,0
2921,16100,45973.0,64430.0,HomeImp,Office,3.0,0.0,0.0,117.07375316,0.0,17.0,33.824716398,0
570,7500,11358.0,36892.0,DebtCon,Other,5.0,0.0,0.0,286.9228238,0.0,11.0,23.06292573,0
3623,19000,122000.0,158000.0,DebtCon,Office,2.0,,1.0,374.03333333,,52.0,,0
3240,17300,110614.0,137552.0,DebtCon,ProfExe,6.0,0.0,0.0,85.232500724,0.0,13.0,31.344365522,0
3093,16800,16204.0,27781.0,HomeImp,Other,1.0,10.0,0.0,190.57709682,0.0,9.0,27.146885648,1
2763,15500,96426.0,122322.0,DebtCon,Office,12.0,0.0,0.0,226.28452431,0.0,12.0,40.86810919,0
5138,27600,64818.0,91915.0,DebtCon,Other,16.0,0.0,0.0,99.604607809,0.0,17.0,32.461144333,0
148,5000,90059.0,113714.0,HomeImp,ProfExe,7.0,0.0,0.0,193.63644686,0.0,28.0,25.897316482,0
831,8600,45960.0,57473.0,DebtCon,Mgr,4.0,0.0,0.0,189.76806013,0.0,22.0,26.754411554,0
4873,25600,58606.0,89508.0,DebtCon,Other,8.0,1.0,0.0,140.71275774,2.0,30.0,41.669963714,0
2983,16400,62786.0,79154.0,DebtCon,,7.0,,,,,,24.838940068,0
5756,43800,,54046.0,DebtCon,Other,,5.0,,113.10435634,,19.0,29.997904971,0
469,7000,98779.0,124827.0,HomeImp,Other,9.0,,,421.541928,1.0,49.0,40.828872934,0
3511,18500,42683.0,68000.0,DebtCon,Office,3.0,0.0,0.0,229.3,0.0,12.0,,0
5373,30800,15428.0,45495.0,DebtCon,Other,28.0,0.0,0.0,200.50912433,0.0,15.0,42.387985513,0
4655,24400,61260.0,103842.0,DebtCon,ProfExe,1.0,0.0,0.0,179.5402847,0.0,26.0,33.590455142,0
1427,10900,49406.0,83074.0,HomeImp,Other,1.0,0.0,1.0,191.81512308,0.0,13.0,30.124555686,0
3135,17000,97713.0,164869.0,,Other,,0.0,,253.4763166,,23.0,36.452295794,0
3662,19300,83141.0,112096.0,DebtCon,Mgr,15.0,0.0,0.0,255.78828901,5.0,31.0,35.514487999,0
4929,26000,107291.0,137426.0,DebtCon,Mgr,9.0,2.0,0.0,191.57344003,4.0,18.0,40.767401412,0
4176,21800,21000.0,45000.0,,ProfExe,20.0,0.0,0.0,256.7,1.0,19.0,,1
5407,31500,22100.0,35000.0,DebtCon,Other,1.9,2.0,0.0,85.233333333,2.0,14.0,,1
5194,28000,68000.0,106000.0,HomeImp,Other,6.0,,,114.7,11.0,21.0,,0
3884,20300,66667.0,92158.0,DebtCon,ProfExe,9.0,3.0,1.0,174.89210564,2.0,64.0,40.545680998,1
1802,12200,45095.0,64736.0,DebtCon,Other,9.0,0.0,0.0,249.67377106,0.0,18.0,31.635302623,0
3305,17600,76043.0,95605.0,DebtCon,Other,3.0,2.0,1.0,85.04333493,6.0,30.0,47.840295122,1
157,5000,34200.0,50830.0,HomeImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,,1
4900,25700,103598.0,144594.0,DebtCon,Mgr,19.0,0.0,0.0,217.94482804,0.0,13.0,41.135649383,0
3938,20600,91183.0,138268.0,DebtCon,Other,12.0,0.0,0.0,113.16663582,3.0,15.0,41.207855737,0
3000,16400,58664.0,89589.0,DebtCon,Office,27.0,0.0,0.0,211.44110206,0.0,21.0,34.256364885,0
318,6000,53500.0,64790.0,DebtCon,Other,0.1,0.0,2.0,105.4,3.0,18.0,,0
1476,11000,83639.0,98081.0,DebtCon,Other,10.0,0.0,0.0,155.37122034,4.0,22.0,42.539685706,0
1906,12600,125688.0,198602.0,HomeImp,Office,0.0,0.0,1.0,344.7479335,0.0,16.0,39.483820073,0
3439,18200,67809.0,89339.0,DebtCon,Sales,0.0,3.0,0.0,102.46098622,2.0,19.0,38.345340781,1
4416,23000,,56390.0,DebtCon,Other,,0.0,1.0,314.27371253,0.0,19.0,37.74372511,0
3509,18500,23618.0,37539.0,,Office,1.0,0.0,0.0,199.7237771,0.0,15.0,36.982729198,0
3758,20000,38955.0,80680.0,DebtCon,ProfExe,8.0,0.0,0.0,295.3007793,0.0,18.0,40.390956012,0
964,9300,73252.0,100537.0,DebtCon,ProfExe,2.0,0.0,0.0,99.774527119,0.0,26.0,34.514635071,0
872,8800,67200.0,80300.0,HomeImp,Other,10.0,4.0,1.0,135.86666667,1.0,33.0,,1
5798,48800,47476.0,105332.0,HomeImp,Self,9.0,0.0,0.0,194.13891853,3.0,36.0,40.653434674,0
1759,12000,,33879.0,DebtCon,Other,,1.0,0.0,121.37953588,0.0,4.0,39.69469137,1
5681,40700,11541.0,64714.0,HomeImp,Office,,1.0,0.0,298.64853168,0.0,19.0,16.5302805,0
3264,17400,113890.0,135146.0,DebtCon,,16.0,0.0,0.0,174.10145958,1.0,17.0,37.6335491,0
3101,16800,46312.0,67166.0,HomeImp,Other,27.0,0.0,0.0,241.50838389,0.0,14.0,26.220717432,0
153,5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,,1
3035,16500,44946.0,64918.0,HomeImp,Other,25.0,0.0,0.0,247.27840785,0.0,14.0,24.357949543,0
509,7100,98490.0,114457.0,HomeImp,Office,23.0,0.0,0.0,116.10008714,0.0,11.0,35.601894251,0
1381,10700,67523.0,85560.0,DebtCon,Sales,5.0,0.0,0.0,126.84293494,0.0,35.0,26.001665333,0
2160,13500,63572.0,102739.0,HomeImp,ProfExe,7.0,0.0,0.0,250.56135691,0.0,12.0,34.913793441,0
1345,10600,61513.0,73143.0,DebtCon,ProfExe,2.0,0.0,0.0,164.56765548,2.0,34.0,43.204953133,0
2499,14900,87167.0,114219.0,DebtCon,ProfExe,8.0,0.0,0.0,194.11317353,2.0,36.0,41.329763904,0
5294,29200,116202.0,160084.0,DebtCon,ProfExe,6.0,0.0,0.0,124.12146165,3.0,26.0,32.644529835,0
4420,23000,62893.0,90989.0,DebtCon,Office,4.0,,,179.84686269,,16.0,38.630946734,0
5091,27200,97541.0,126368.0,DebtCon,ProfExe,0.0,1.0,0.0,186.77854794,3.0,38.0,34.81068944,0
2648,15200,58000.0,77000.0,DebtCon,Other,0.9,1.0,0.0,127.86666667,3.0,26.0,,1
2577,15000,36900.0,58600.0,HomeImp,Other,26.0,0.0,0.0,247.1,0.0,14.0,,0
2872,15900,94078.0,118359.0,DebtCon,Other,13.0,0.0,0.0,125.55199939,1.0,8.0,37.78182264,0
1895,12500,,39200.0,HomeImp,Other,0.0,0.0,0.0,309.4,1.0,9.0,,0
2821,15800,,44144.0,HomeImp,Other,0.0,0.0,0.0,315.81263172,1.0,9.0,25.650384133,0
3165,17000,56800.0,82000.0,DebtCon,ProfExe,22.0,0.0,5.0,320.6,4.0,28.0,,1
4307,22400,91402.0,100845.0,DebtCon,ProfExe,2.0,1.0,0.0,132.21662181,0.0,20.0,35.682471229,0
5668,40100,129625.0,197722.0,DebtCon,Mgr,,0.0,0.0,178.76739355,0.0,25.0,33.199310594,0
725,8200,,38648.0,HomeImp,Other,,,,302.53018223,,10.0,30.445375631,0
1255,10200,78628.0,92090.0,DebtCon,Other,10.0,1.0,0.0,164.31789635,6.0,21.0,38.721321606,0
4010,21000,94063.0,139868.0,DebtCon,ProfExe,,0.0,0.0,207.21003554,0.0,21.0,30.247822552,0
1222,10100,60200.0,74000.0,DebtCon,Other,4.0,,4.0,128.86666667,5.0,24.0,,1
4682,24600,221331.0,289991.0,HomeImp,ProfExe,5.0,,4.0,474.0270741,,55.0,31.463384548,0
